"Gender","What country do you live in?","If United States, what state?","What is your age?","What is the highest level of education you have completed?","If you obtained more than an Bachelor's (Undergraduate) Degree (like a Masters or PhD), would you recommend it?","Job status","Income in US Dollars per year","How long have you been working?","If employed, what is your current job title (without the GIS)?","Is ""GIS"" officially in your job title?","What industry do you work in?","What desktop GIS software do you use?","What desktop GIS software do you mainly use?","If ArcGIS, are you using Pro?","Do you use any design software to finish your maps?","Is your work primarily vector or raster based?","Apart from GIS software, what other software do you use for your work?","Does your work require programming?","Database of choice?","Do you have a professional certification?","If you obtained a professional certification, did your employer pay for it?","If you obtained a professional certification, did you get a raise as a result?","How many screens/monitors do you use for your work?","Does (or did before COVID) you job require any field work?","How has the COVID-19 pandemic affected you in regard to the GIS profession?","Are you currently work from home due to COVID-19? ","Will you continue to work from home for the long term?","How happy are you with your choice of GIS as profession?","How optimistic are you about the future of GIS as a profession?","Should we ban memes?"
"Female","United States","Colorado","35 to 44","Master's Degree","Maybe","Mid level","51000","11-25 years","Analyst","No","Defense","ArcGIS;ERDAS;QGIS;Geomedia","Other","No","No","Vector","FME;Python;SQL Server","No","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","7","7","haha memes go brrrr"
"Male","Germany",,"18 to 24","High School or equivalent",,"Student - University/College","4000","1-2 years","Research Assistant","No","Academia","QGIS","QGIS",,"Illustrator;InkScape","Vector","InDesign;Illusrator, Inkscape","No","None (ShapeFiles baby)","No",,,"2","No","Positively","Yes","To some extent","8","9","No"
"Male","United States","Arizona","35 to 44","Master's Degree","No","Entry level","40000","1-2 years","Analyst","No","Public Health","ArcGIS;GRASS;R","GRASS","Primarily","InkScape;GIMP","Vector","GIMP;PyCharm;Python;R","No","MySQL","No",,,"2","No","Positively","Yes","To some extent","6","7","Don't care"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Mangement","85000","2-5 years","Manager","No","Real Estate","QGIS;FME, and custom built platform","Other","Primarily","Illustrator","Vector","FME;InDesign;PostGIS;Python;VS Code","Python","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","7","7","Don't care"
"Female","Canada",,"18 to 24","Master's Degree","Yes","Entry level","40000","Under 1 year","Intern","No","Central Government","ArcGIS","ArcGIS","50/50","No","Vector","Access;FME;Python;VS Code","Python;SQL","Oracle","No",,,"2","No","Positively","Yes","To some extent","10","10","No"
"Male","Canada",,"18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student - University/College","20000","2-5 years","Technician","Yes","Defense","ArcGIS","ArcGIS","A bit","No","50/50",,"No","None (ShapeFiles baby)","No","No","No","2","Yes - More than once a year","Not much difference","I was, but back in the office now","To some extent","8","10","haha memes go brrrr"
"Male","Australia",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mangement","135000","11-25 years",,"No","Environmental","ArcGIS;Global Mapper;Google Earth;QGIS","ArcGIS","A bit","No","Vector","Access;FME;Pix4D;PostGIS;Python;SQL Server","No","File Geodatabase (ESRI)","No",,,"3","No","Positively","Yes","Yes","8","8","haha memes go brrrr"
"Male","United States","Colorado","35 to 44","Bachelor's (Undergraduate) Degree",,"Mangement","140000","5-10 years","Specialist","No","Defense","ArcGIS","ArcGIS","50/50","No","Raster","Matlab;PostGIS;Python","Python;Java","File Geodatabase (ESRI)","No",,,"3","No","Positively","I was, but back in the office now","No","7","5","Yes"
"Female","United States","New York","25 to 34","Master's Degree","No","Mid level","60000","2-5 years","Specialist","Yes","Non-Profit","ArcGIS;QGIS","ArcGIS","Primarily","PhotoShop","Vector","Python;SQL Server","No","PostgreSQL","No",,,"2","No","Not much difference","Yes","To some extent","9","7","No"
"Male","Netherlands",,"35 to 44","Master's Degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","100000","11-25 years","Specialist","No","IT","Global Mapper;Google Earth;QGIS","QGIS",,"No","Vector","GDAL;PostGIS;Python;SQL Server;VS Code","Python;SQL;.NET;C#;JavaScript;Java","SQL Server","No",,,"Laptop/tablet only","No","Not much difference","I was already working from home","I was already working from home","7","9","Don't care"
"Male","Canada","Not United States","25 to 34","Bachelor's (Undergraduate) Degree",,"Student - University/College","20000","Under 1 year","Researcher","No","Environmental","ArcGIS;Google Earth;PCI Geomatica Catalyst","ArcGIS","Exclusively","No","50/50","Python;R","Python;JavaScript;R","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Not much difference","Yes","To some extent","8","7","No"
"Male","United Kingdom",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mangement","59000","11-25 years","Manager","Yes","Local Government","ArcGIS","ArcGIS","No","No","50/50","Access;Python;VS Code","Python;.NET;C#","Oracle","No",,,"2","No","Not much difference","Yes","To some extent","9","9","No"
"Male","United Kingdom","Not United States","18 to 24","High School or equivalent",,"Student - University/College","5000","Not employed.",,,,"ArcGIS;QGIS","QGIS","A bit","Illustrator","Vector","Python;R","Python;R","PostgreSQL","No","No","No",,,"Positively",,,"10","10","No"
"Other / Prefer not to say","United States","Georgia","18 to 24","Bachelor's (Undergraduate) Degree",,"Looking for work","0","Not employed.",,,,"ArcGIS;Google Earth;QGIS","ArcGIS","No","InkScape",,,"Python","N/A","No",,,"Laptop/tablet only",,,,,"6","9","haha memes go brrrr"
"Female","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","50000","11-25 years","Support Specialist","No","Central Government","ArcGIS","ArcGIS","50/50","Illustrator","Vector","InDesign;SQL Server","SQL","SQL Server","No",,,"Laptop/tablet only","Yes - More than once a year","Positively","Yes","To some extent","7","8","haha memes go brrrr"
"Male","United States","Florida","25 to 34","Master's Degree","Yes","Student - University/College","0","Not employed.",,"No",,"ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","Unemployed","Unemployed","File Geodatabase (ESRI)","GIS Graduate Certificate","No","No",,"Yes - More than once a week","Negatively",,,"8","8","No"
"Female","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","59000","5-10 years","Technician","Yes","Local Government","ArcGIS;QGIS","ArcGIS","Primarily","No","Vector","FME;PostGIS;PyCharm;Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","Yes","8","6","No"
"Male","United States","Arizona","35 to 44","Master's Degree","Yes","Mid level","72000","11-25 years","Research Analyst","Yes","Ocean science / federal government contractor ","ArcGIS;Google Earth;R","ArcGIS","A bit","Illustrator;GIMP;No","50/50","Python;R","Python;R","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","Yes","Yes","8","7","No"
"Other / Prefer not to say","United States","Pennsylvania","25 to 34","Master's Degree","Yes","Entry level","50000","Under 1 year","Specialist","Yes","Archaeology","ArcGIS;Google Earth","ArcGIS","No","Illustrator;PhotoShop","Vector","Python","Python","None (ShapeFiles baby)","No",,,"2",,"Positively","Yes","To some extent","8","7","haha memes go brrrr"
"Male","United States","New York","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","36009","5-10 years","Analyst","Yes","Remote sensing","ArcGIS;Global Mapper;Google Earth;QGIS;Proprietary Software","Other","No","No","Raster","Python","No","PostgreSQL","GISP","Partly","No","2","No","Not much difference","Yes","To some extent","8","10","haha memes go brrrr"
"Male","United States","Wisconsin","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","75000","11-25 years","Coordinator","Yes","Utility Construction","ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No","Vector","Access;FME;GIMP;Pix4D;Python;SQL Server","Python;SQL;C#","SQL Server","No",,,"2","No","Not much difference","I was, but back in the office now","No","10","8","Don't care"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","60000","2-5 years","GIS Administrator","Yes","Civil Engineering","ArcGIS","ArcGIS","Primarily","No","50/50","FME;PyCharm;Python;SQL Server","Python;SQL;JavaScript","SQL Server","GISP",,,"2","Yes - More than once a year","Positively","Yes","To some extent","8","10","No"
"Female","United States","Texas","18 to 24","2-Year Degree (Technical, Certificate, Associate's, etc)",,"Student - University/College","0","Not employed.",,,,"ArcGIS;Google Earth","ArcGIS","Exclusively","No",,"Access","No","File Geodatabase (ESRI)","No",,,"1",,,,,"9","10","haha memes go brrrr"
"Male","United States","Texas","25 to 34","2-Year Degree (Technical, Certificate, Associate's, etc)","N/A","Entry level","40000","5-10 years","Specialist","Yes","Local Government","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Raster",,"No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","I was, but back in the office now","No","8","9","No"
"Male","United States","Nevada","25 to 34","Master's Degree","Yes","Mid level","100000","5-10 years","Geologist","No","Mining","QGIS","QGIS",,"No","Vector","Python","No","SQLite (SpatiaLite, GeoPackage)","No",,,"Laptop/tablet only","Yes - Most days","Not much difference","No","To some extent","6","6","haha memes go brrrr"
"Male","United Kingdom",,"25 to 34","Master's Degree","Maybe","Mid level","80000","2-5 years","Analyst","Yes","Telecommunications","QGIS","QGIS","No","No","Vector","PostGIS;Python","Python;SQL","PostgreSQL","No","No","No","Laptop/tablet only","No","Not much difference","Yes","Yes","9","8","haha memes go brrrr"
"Male","United States","Michigan","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","142000","11-25 years","Data Scientist","No","Retail","ArcGIS","ArcGIS","50/50","No","Vector","GDAL;Python;SQL Server","Python;SQL","SQL Server","No",,,"2","No","Not much difference","Yes","To some extent","9","9","Yes"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","42000","2-5 years","Specialist","Yes","Environmental","QGIS","QGIS",,"No","Vector","Excel","No","None (ShapeFiles baby)","No",,,"2","Yes - More than once a year","Not much difference","Yes","To some extent","10","9","No"
"Male","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree","N/A","Entry level","52000","2-5 years","Hydrographer","Yes","GIS","ArcGIS;Google Earth;FUSION, ArcGIS PRO","ArcGIS","A bit","N/A","50/50","Access;Matlab;Python;R;SQL Server","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Positively","Yes","To some extent","9","10","Don't care"
"Male","United States","Pennsylvania","25 to 34","Master's Degree","Yes","Entry level","45000","2-5 years","Analyst","Yes","Local Government","ArcGIS","ArcGIS","Exclusively","Illustrator","Vector","InDesign","No;Python","PostgreSQL","No",,,"3","Yes - Once a year","Positively","Yes","To some extent","10","7","Don't care"
"Male","United States","Oregon","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","80000","11-25 years","Technician","Yes","Local Government","ArcGIS","ArcGIS","A bit","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - Once a month","Negatively","Yes","To some extent","3","7","Yes"
"Male","United States","Minnesota","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","68000","2-5 years","Engineer","Geospatial","Telecommunications","ArcGIS","ArcGIS","Exclusively","No","Vector","Python","Python","File Geodatabase (ESRI)","No",,,"3","Yes - More than once a year","Not much difference","Yes","Yes","10","10","Don't care"
"Female","United States","Texas","18 to 24","Bachelor's (Undergraduate) Degree",,"Entry level","41690","1-2 years","Technician","Yes","Consulting","ArcGIS","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Negatively","Yes","Yes","5","5","No"
"Male","United States","California","35 to 44","Master's Degree","Yes","Mangement","200000","11-25 years","Developer","No","GIS","ArcGIS","ArcGIS","Exclusively","InkScape;GIMP","Vector","Python;VS Code","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","No","8","6","No"
"Male","Ireland","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","Currently doing MSc in GIS","Student - University/College","0","Not employed.",,"It’s in my course title ","Currently a student ","ArcGIS;Manifold;QGIS","ArcGIS","No","No","50/50","GDAL;PostGIS;PyCharm;Python;SQL Server;PostgreSQL, AWS","Python;SQL","PostgreSQL","No",,,"2",,"Not much difference","Yes","Yes","8","8","Yes"
"Male","Ireland","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","Currently doing MSc in GIS","Student - University/College","0","Not employed.",,"It’s in my course title ","Currently a student ","ArcGIS;Manifold;QGIS","ArcGIS","No","No","50/50","GDAL;PostGIS;PyCharm;Python;SQL Server;PostgreSQL, AWS","Python;SQL","PostgreSQL","No",,,"2",,"Not much difference","Yes","Yes","8","8","Yes"
"Male","Ireland","Not United States","18 to 24","Bachelor's (Undergraduate) Degree","Currently doing MSc in GIS","Student - University/College","0","Not employed.",,"It’s in my course title ","Currently a student ","ArcGIS;Manifold;QGIS","ArcGIS","No","No","50/50","GDAL;PostGIS;PyCharm;Python;SQL Server;PostgreSQL, AWS","Python;SQL","PostgreSQL","No",,,"2",,"Not much difference","Yes","Yes","8","8","Yes"
"Male","United States","Colorado","25 to 34","Master's Degree","Yes","Student - University/College","35000","5-10 years","Researcher","No","Academia","QGIS","QGIS",,"No","50/50","GDAL;PostGIS;Python","Python;SQL;JavaScript;Java","PostgreSQL","No",,,"2","No","Not much difference","Yes","Yes","7","7","Don't care"
"Female","Canada",,"35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","63000","11-25 years","Specialist","Yes","Energy","ArcGIS;AutoCAD;Global Mapper;SmallWorld;FME","ArcGIS","Primarily","No","50/50","FME;Microstation;Pix4D;SQL Server;Excel","No;Arcade","File Geodatabase (ESRI)","No",,,"2","Yes - Once a year","Not much difference","Yes","Yes","8","6","No"
"Female","United States","Oregon","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","60000","2-5 years","Specialist","Yes","Local Government","ArcGIS;QGIS","ArcGIS","50/50","Illustrator","Vector","FME;Python;SQL Server;VS Code","Python;SQL","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","9","8","Don't care"
"Male","Other",,"35 to 44","Bachelor's (Undergraduate) Degree","Maybe","Mid level","60000","11-25 years","Consultant","Yes","GIS","ArcGIS;QGIS","ArcGIS",,"No","Vector","FME;Python;SQL Server","Python","PostgreSQL","Arcgis desktop","Yes","No","1","No","Not much difference","No","No","7","5","Don't care"
"Female","Australia",,"35 to 44","Master's Degree","Maybe","Self employed (Entrepreneur, Freelancer, etc..)","250000","11-25 years","Consultant","Yes","Transportation","ArcGIS;QGIS","ArcGIS","A bit","Illustrator","Vector","Access;GDAL;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"1","No","Negatively","Yes","Yes","9","7","Don't care"
"Male","Netherlands",,"45 to 54","Master's Degree","Maybe","Senior Consultant","160000","26 or more years","Consultant","No","GIS","ArcGIS","ArcGIS","Primarily","No","Vector","Python;SQL Server","Python;JavaScript","PostgreSQL","No",,,"3","No","Not much difference","Yes","To some extent","9","10","Don't care"
"Female","United States","Arkansas","25 to 34","Bachelor's (Undergraduate) Degree","No","GIS Work study student","15000.00","Under 1 year","Intern","Yes","Utilities","ArcGIS","ArcGIS","No","No","Vector","GDAL;SQL Server","Python","Futura","No","No","No","2","Yes - More than once a month","Not much difference","No","No","10","10","No"
"Female","United States","Colorado","25 to 34","Master's Degree","Yes","Mid level","105000","5-10 years","Planner (at a consulting firm)","No","Transportation","ArcGIS","ArcGIS","No","Illustrator","Vector","InDesign","No","File Geodatabase (ESRI)","No",,,"1","Yes - More than once a year","Not much difference","Yes","Yes","9","8","Don't care"
"Male","United States","Missouri","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","38000","Under 1 year","Analyst","Yes","Utilities","ArcGIS;Google Earth","ArcGIS","Exclusively","No","Vector","PyCharm;Python","Python","None (ShapeFiles baby)","No",,,"2","No","Not much difference","Yes","To some extent","6","8","No"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mid level","80000","11-25 years","Developer","Yes","Local Government","ArcGIS;Google Earth","ArcGIS","Primarily","Illustrator","50/50","Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a month","Positively","I was, but back in the office now","Yes","10","10","Don't care"
"Male","United States","California","18 to 24","Bachelor's (Undergraduate) Degree",,"Self employed (Entrepreneur, Freelancer, etc..)","20000","Under 1 year","Analyst","Yes","Non-Profit","ArcGIS;ENVI;Google Earth;QGIS","ArcGIS","Primarily","InkScape","Vector","Matlab;PyCharm;R;SQL Server","No","File Geodatabase (ESRI)","No",,,"1","No","Not much difference","Yes","To some extent","9","9","No"
"Female","Europe",,"18 to 24","High School or equivalent",,"Student - University/College","0","Not employed.",,,,"ArcGIS;ERDAS;Google Earth;Geoprohlížeč.cz; Mapy.cz","ArcGIS","No","GIMP","50/50","GIMP","No","File Geodatabase (ESRI)","No",,,"Laptop/tablet only",,"Not much difference",,,"8","9","No"
"Male","United States","California","18 to 24","High School or equivalent",,"Student - University/College","2000","1-2 years",,,,"ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No",,"Python;SQL Server","No","MySQL","No",,,"2","No",,,,"8","7","haha memes go brrrr"
"Male","United States","California","18 to 24","High School or equivalent",,"Student - University/College","2000","1-2 years",,,,"ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","No",,"Python;SQL Server","No","MySQL","No",,,"2","No",,,,"8","7","haha memes go brrrr"
"Male","United States","Montana","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","45000","5-10 years","Manager","Yes","Environmental","ArcGIS;Google Earth","ArcGIS","Primarily","No","50/50","Access;Python","Python","File Geodatabase (ESRI)","No",,,"2","Yes - More than once a year","Not much difference","I was already working from home","I was already working from home","8","9","No"
"Male","United States","Texas","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","65000","2-5 years","Analyst","Yes","Engineering","ArcGIS;Google Earth","ArcGIS","50/50","No","Vector","Python;SQL Server","No","SQL Server","No",,,"3","No","Not much difference","I was, but back in the office now","No","8","8","haha memes go brrrr"
"Male","Other",,"25 to 34","Master's Degree","Yes","Mid level","30000","5-10 years","Researcher","No","Central Government","ArcGIS;ENVI;Global Mapper;Google Earth;QGIS;Oasis Montaj","ArcGIS","No","No","Vector",,"No","None (ShapeFiles baby)","No",,"No","2","Yes - More than once a year","Not much difference","Yes","Yes","9","10","No"
"Male","United States","Maryland","25 to 34","Master's Degree","Maybe","Mid level","50000","2-5 years","Analyst","Yes","Transportation","ArcGIS;Google Earth;QGIS","ArcGIS","50/50","No","Vector","Access;PostGIS;SQL Server","No","PostgreSQL","No","No",,"2","Yes - Once a year","Not much difference","Yes","To some extent","7","7","haha memes go brrrr"
"Male","Other",,"35 to 44","Master's Degree","No","Mid level","74000","11-25 years","Consultant","Yes","Engineering","ArcGIS;AutoCAD;Global Mapper;Google Earth;FME","ArcGIS","Primarily","No","Vector","FME;Python;SQL Server","Python;SQL","SQL Server","Esri certification ","Yes","Yes","3","Yes - Once a year","Not much difference","I was, but back in the office now","To some extent","3","1","No"
"Male","United States","Arkansas","35 to 44","Master's Degree","Maybe","Mid level","56000","11-25 years","Analyst","Yes","Civil Engineering","ArcGIS","ArcGIS","A bit","No","Vector",,"Python","SQL Server","No",,,"2","Yes - More than once a year","Not much difference","Yes","No","3","4","Don't care"
"Male","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree","Yes","Student - University/College","30000","Not employed.",,,,"ArcGIS;AutoCAD;Google Earth","ArcGIS","Primarily","Illustrator","50/50","Access;FME;Python;VS Code","Python;SQL;JavaScript","MySQL","No",,,"2","Yes - More than once a week","Not much difference","Yes","To some extent","8","8","No"
"Female","United States","Idaho","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","55000","2-5 years","Coordinator","Yes","Utilities","ArcGIS","ArcGIS","50/50","No","Vector","Python","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","6","Don't care"
"Male","United States","Iowa","25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","24000","1-2 years","Intern","Yes","Academia","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","Exclusively","Illustrator;PhotoShop;InkScape","50/50","GDAL;GIMP;InDesign;Python;SAS;SQL Server","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","10","No"
"Male","United States","Utah","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","83000","2-5 years","Developer","Yes","Civil Engineering","ArcGIS;AutoCAD;ENVI;Global Mapper;Google Earth","ArcGIS","Exclusively","Illustrator;PhotoShop;GIMP","50/50","Python;SQL Server;VS Code","Python;SQL;JavaScript","SQL Server","GISP","Yes","No","3","Yes - Once a year","Positively","No","No","8","9","haha memes go brrrr"
"Male","United Kingdom",,"25 to 34","Master's Degree","No","Mid level","40000","2-5 years","Analyst",,"Engineering","ArcGIS;AutoCAD;QGIS","ArcGIS","Primarily","No","50/50","Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","Yes","8","9","No"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Mangement","70000","5-10 years","Developer","Yes","Environmental","ArcGIS;QGIS","ArcGIS","Exclusively","Illustrator","Vector","Python;SQL Server;VS Code","Python;SQL;JavaScript","MySQL","No",,,"2","No","Positively","I was already working from home","Yes","8","9","No"
"Female","United States","Oklahoma","18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","58000","2-5 years","Cartographer","Yes","GIS","ArcGIS;ENVI;ERDAS;Global Mapper;Google Earth;GRASS;QGIS","ArcGIS","50/50","Illustrator;PhotoShop;GIMP","Vector","Access;FME;GIMP;Matlab;PyCharm;Python;R","Python","File Geodatabase (ESRI)","No",,,"3","No","Positively","Yes","Yes","7","8","No"
"Female","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Looking for work","0","Not employed.",,,,"ArcGIS;GRASS;QGIS","ArcGIS","Exclusively","Illustrator;PhotoShop;InkScape;GIMP","50/50","GDAL;GIMP;Matlab;Python;R;VS Code;Excel (lol)","Python","File Geodatabase (ESRI)","No",,,"2",,,,,"8","9","haha memes go brrrr"
"Male","United States","California","35 to 44","Bachelor's (Undergraduate) Degree",,"Mangement","100000","11-25 years","Project Manager","No","Environmental","ArcGIS;AutoCAD;Google Earth;GRASS;QGIS","ArcGIS","Exclusively","Illustrator","50/50","GDAL;InDesign;Matlab;Python;R;Metashape, LP360, ","Python","File Geodatabase (ESRI)","Professional Geologist ","Yes","Yes","2","Yes - Once a week","Not much difference","Yes","No","7","8","No"
"Male","Australia",,"18 to 24","Bachelor's (Undergraduate) Degree",,"Mid level","72000","2-5 years","Consultant","Yes","GIS","ArcGIS","ArcGIS","Exclusively","No","Vector","FME;PyCharm;Python;SQL Server;VS Code","Python;SQL;JavaScript","PostgreSQL","No","No",,"2","No","Not much difference","Yes","To some extent","8","8","No"
"Male","Other","Not United States","25 to 34","BSc Honours Degree - South Africa","Maybe","Entry level","10378","2-5 years","Specialist","Yes","GIS","ArcGIS;AutoCAD;Global Mapper;Google Earth;QGIS;Agisoft","ArcGIS","Primarily","No","50/50","PyCharm;Python;VS Code","No;Python","File Geodatabase (ESRI)","No","No","No","2","Yes - More than once a month","Not much difference","I was, but back in the office now","To some extent","8","8","No"
"Male","United States","New York","18 to 24","Bachelor's (Undergraduate) Degree","Currently getting one, would recommend","Student - University/College","10000","Not employed.",,,,"ArcGIS;Google Earth;QGIS","ArcGIS","Exclusively","No","50/50","Python;R","Python","File Geodatabase (ESRI)","No",,,"2",,,"Yes","Yes","9","6","haha memes go brrrr"
"Female","Canada",,"25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","40000","1-2 years","Technician","No","Environmental","ArcGIS;Google Earth;QGIS","QGIS","Exclusively","No","Vector","GDAL","No","SQLite (SpatiaLite, GeoPackage)","No",,,"2","Yes - Once a month","Positively","I was, but back in the office now","To some extent","8","9","Don't care"
"Other / Prefer not to say","United States","Oregon","35 to 44","Master's Degree","Maybe","Mid level","63000","2-5 years","Technician","No","Local Government","ArcGIS","ArcGIS","50/50","No","Vector","Access;PyCharm;Python;SQL Server;VS Code","Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","6","5","No"
"Male","United States","New Jersey","25 to 34","Bachelor's (Undergraduate) Degree","Maybe","Mid level","60000","2-5 years","Solutions Engineer","Yes","Engineering","ArcGIS","ArcGIS","Exclusively","No","Vector","PyCharm;Python;SQL Server;VS Code","Python","PostgreSQL","No",,,"3","No","Positively","Yes","Yes","7","5","haha memes go brrrr"
"Male","United States","North Carolina","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","57000","2-5 years","Analyst","No","GIS","ArcGIS;Google Earth;QGIS","ArcGIS","Primarily","No","50/50",,"Python","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes",,"9","9","No"
"Female","United States","California","25 to 34","Master's Degree","Yes","Mid level","70000","2-5 years","Analyst","Yes","Oil and Gas","ArcGIS;Google Earth","ArcGIS","Exclusively","No","Vector","PyCharm;Python","Python","File Geodatabase (ESRI)","No",,,"2","No","Negatively","Yes","To some extent","8","7","haha memes go brrrr"
"Male","United States","Ohio","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","70000","11-25 years","Analyst","Yes","Central Government","ArcGIS","ArcGIS","A bit","No","Vector","Access;FME;PyCharm;Python;SQL Server","Python;SQL","SQL Server","No",,,"Laptop/tablet only","No","Not much difference","Yes","To some extent","8","8","haha memes go brrrr"
"Male","United States","Virginia","25 to 34","Bachelor's (Undergraduate) Degree",,"Mid level","68000","5-10 years","Analyst","Yes","GIS","ArcGIS;Google Earth;QGIS","ArcGIS","No","No","Vector","PostGIS","No","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","To some extent","7","6","Don't care"
"Male","United States","California","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","90000","5-10 years","Software engineer II","No","private company in the public safety field (fire/ems/police)","ArcGIS;Google Earth","ArcGIS","Primarily","No","Vector","Access;Python;SQL Server;Notepad++, Visual Studio","Python;SQL;.NET;C#;JavaScript;HTML, CSS","File Geodatabase (ESRI)","No",,,"2","No","Not much difference","Yes","No","5","4","Don't care"
"Male","United States","Arizona","25 to 34","Master's Degree","Yes","Mid level","53000","2-5 years","Analyst","Yes","Environmental","ArcGIS;Google Earth;GRASS;QGIS","ArcGIS","Exclusively","Illustrator;PhotoShop;GIMP","Vector","GDAL;GIMP;Python;SQL Server","Python;SQL;JavaScript","File Geodatabase (ESRI)","Penn State's GIS Certification","No","No","2","Yes - More than once a month","Positively","Yes","To some extent","8","9","haha memes go brrrr"
"Male","United States","Ohio","18 to 24","High School or equivalent",,"Student - University/College","6000","Under 1 year","Intern","Yes","Local Government","ArcGIS;AutoCAD","ArcGIS","Exclusively","No","Vector",,"No","File Geodatabase (ESRI)","No",,,"2","Yes - Most days","Negatively",,,"10","10","No"
"Male","United States","New Mexico","45 to 54","Bachelor's (Undergraduate) Degree",,"Mid level","79000","11-25 years","Analyst","Geospatial","GIS","ArcGIS;AutoCAD;ERDAS;Google Earth;GRASS;QGIS;GeoMedia","QGIS","50/50","No","50/50","FME;GDAL;Microstation;Pix4D;PostGIS;SQL Server","No","PostgreSQL","No",,,"1","No","Not much difference","Yes","Yes","8","7","haha memes go brrrr"
"Male","United States","New Mexico","25 to 34","Bachelor's (Undergraduate) Degree",,"Entry level","40000","2-5 years","Cartographer","No","Transportation","ArcPro","ArcGIS","Primarily","No","Vector","GIMP","No","File Geodatabase (ESRI)","No","No",,"2","No","Positively","Yes","No","10","9","No"
"Male","Other",,"18 to 24","Bachelor's (Undergraduate) Degree","Maybe","Student - University/College","0","Not employed.",,,,"QGIS","QGIS","A bit","No","Vector","Python","Python","MySQL","No","Yes",,"Laptop/tablet only","Yes - Most days","Negatively","Yes","To some extent","6","8","Don't care"
